               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  95,            0.085808,            0.024611,                   0,            0.081076,             0.14493,            0.034707,           0.0064311,            0.095825,            0.064664,                   0,           0.0028129,           0.0028129,            0.074113
                  96,            0.068003,            0.024547,                   0,             0.43584,             0.46014,             0.29834,            0.060683,            0.080778,            0.033733,                   0,           0.0028411,           0.0028411,            0.073841
                  97,            0.082542,            0.023283,                   0,             0.45659,             0.63406,             0.38394,            0.084872,            0.076662,            0.029849,                   0,           0.0028693,           0.0028693,            0.073569
                  98,            0.050949,             0.02419,                   0,             0.55492,             0.62862,             0.45761,             0.11052,            0.076727,              0.0293,                   0,           0.0028974,           0.0028974,            0.073297
                  99,             0.08177,            0.023377,                   0,             0.47732,             0.46014,             0.33173,            0.068814,            0.076291,            0.027925,                   0,           0.0029254,           0.0029254,            0.073025
                 100,            0.079898,            0.024499,                   0,             0.44671,             0.43297,             0.31899,            0.075923,            0.079917,            0.044626,                   0,           0.0029535,           0.0029535,            0.072753
                 101,            0.067363,             0.02482,                   0,             0.34421,             0.51449,             0.28387,            0.061587,            0.077908,            0.025059,                   0,           0.0029815,           0.0029815,            0.072481
                 102,            0.077854,            0.023047,                   0,             0.52831,             0.55978,              0.3924,             0.10135,            0.070746,            0.027929,                   0,           0.0030094,           0.0030094,            0.072209
                 103,            0.077559,            0.023785,                   0,             0.38317,             0.41667,             0.22532,            0.050626,            0.081147,            0.029644,                   0,           0.0030374,           0.0030374,            0.071937
                 104,            0.073114,            0.022858,                   0,             0.42588,             0.40399,             0.25007,            0.061112,            0.080732,            0.030008,                   0,           0.0030652,           0.0030652,            0.071665
                 105,            0.080196,            0.022838,                   0,             0.32627,             0.35507,             0.17645,            0.041195,            0.080822,            0.031097,                   0,           0.0030931,           0.0030931,            0.071393
                 106,            0.068308,            0.023088,                   0,             0.67612,               0.625,             0.58928,             0.18403,            0.069088,            0.026896,                   0,           0.0031209,           0.0031209,            0.071121
                 107,            0.067299,            0.023035,                   0,             0.54874,             0.57609,             0.47773,             0.10919,            0.073555,            0.025138,                   0,           0.0031486,           0.0031486,            0.070849
                 108,            0.080287,            0.023885,                   0,             0.64349,             0.72645,             0.65118,              0.2048,            0.070417,            0.025331,                   0,           0.0031764,           0.0031764,            0.070576
                 109,            0.056388,            0.023491,                   0,             0.70554,             0.72488,             0.66319,             0.20902,            0.073298,            0.025831,                   0,            0.003204,            0.003204,            0.070304
                 110,            0.079949,            0.023408,                   0,              0.4485,             0.43659,               0.297,            0.061895,            0.074064,            0.027245,                   0,           0.0032317,           0.0032317,            0.070032
                 111,            0.069248,            0.023319,                   0,             0.55608,             0.62862,             0.53198,             0.15584,            0.070426,            0.029579,                   0,           0.0032593,           0.0032593,            0.069759
                 112,            0.054802,              0.0232,                   0,             0.55866,             0.61232,             0.50169,             0.14412,            0.075345,            0.030726,                   0,           0.0032868,           0.0032868,            0.069487
                 113,            0.070191,             0.02484,                   0,              0.5564,             0.65895,             0.52525,             0.14663,            0.067665,            0.034096,                   0,           0.0033143,           0.0033143,            0.069214
